PSR_name,source,equinox,POSEPOCH,VLBI_RAJ,VLBI_RAJ_err,VLBI_DECJ,VLBI_DECJ_err,VLBI_PMRA,VLBI_PMRA_uR,VLBI_PMRA_uL,VLBI_PMDEC,VLBI_PMDEC_uR,VLBI_PMDEC_uL,VLBI_PX,VLBI_PX_uR,VLBI_PX_uL
J0030+0451,MSPSR Pi,J2000.0,57849.0,00h30m27.42502s,0h0m0.00006s,"+04°51'39.7159""","0°0'0.0002""",-6.13,0.07,0.07,0.34,0.15,0.16,3.02,0.07,0.07
J0437-4715,Deller 2008,J2000.0,54100.0,04h37m15.883250s,0h0m0.000003s,-47°15'09.031863",0°0'0.000037",121.679,0.052,0.052,-71.820,0.086,0.086,6.396,0.054,0.054
J0610-2100,MSPSR Pi,J2000.0,57757.0,06h10m13.60053s,0h0m0.00008s,"-21°00'27.7923""","0°0'0.0002""",9.1,0.01,0.01,15.96,0.25,0.24,0.73,0.10,0.10
J1012+5307,MSPSR Pi,J2000.0,57700.0,10h12m33.43991s,0h0m0.00004s,"+53°07'02.1110""","0°0'0.0001""",2.67,0.05,0.05,-25.39,0.14,0.15,1.17,0.04,0.05
J1022+1001,PSR Pi I,J2000.0,56000.0,10h22m57.9957s,0h0m0.0001s,"10°01'52.765""","0°0'0.002""",-14.921,0.050,0.033,5.611,0.033,0.035,1.387,0.041,0.028
J1024-0719,MSPSR Pi,J2000.0,57797.0,10h24m38.65725s,0h0m0.00006s,"-07°19'19.8014""","0°0'0.0002""",-35.32,0.07,0.07,-48.1,0.2,0.2,0.94,0.06,0.06
J1640+2224,MSPSR Pi,J2000.0,57500.0,16h40m16.74587s,0h0m0.00007s,"22°24'08.7642""","0°0'0.0001""",2.19,0.09,0.09,-11.30,0.16,0.13,0.68,0.08,0.08
J1643-1224,MSPSR Pi,J2000.0,57700.0,16h43m38.16407s,0h0m0.0001s,"-12°24'58.6531""","0°0'0.0004""",6.2,0.2,0.2,3.3,0.6,0.6,1.31,0.17,0.18
J1713+0747,Chatterjee 2009,J2000.0,52275.0,17h13m49.5306s,0h0m0.0001s,07°47'37.519",0°0'0.002",4.75,0.17,0.07,-3.67,0.16,0.15,0.95,0.06,0.05
J1730-2304,MSPSR Pi,J2000.0,57821.0,17h30m21.67969s,0h0m0.0002s,"-23°04'31.1749""","0°0'0.0005""",20.3,0.2,0.2,-4.8,0.5,0.5,1.57,0.18,0.18
J1738+0333,MSPSR Pi,J2000.0,57829.0,17h38m53.97001s,0h0m0.00006s,"03°33'10.9124""","0°0'0.0001""",6.98,0.08,0.08,5.18,0.16,0.16,0.50,0.06,0.06
J1853+1303,MSPSR Pi,J2000.0,57846.0,18h53m57.31785s,0h0m0.00006s,"13°03'44.0471""","0°0'0.0001""",1.4,0.1,0.1,-2.8,0.2,0.2,0.49,0.07,0.07
J1910+1256,MSPSR Pi,J2000.0,57847.0,19h10m09.70165s,0h0m0.00003s,"12°56'25.4316""","0°0'0.00006""",0.50,0.04,0.04,-6.85,0.09,0.09,0.254,0.035,0.035
J1918-0642,MSPSR Pi,J2000.0,57768.0,19h18m48.02959s,0h0m0.0001s,"-06°42'34.9335""","0°0'0.0002""",-7.1,0.01,0.01,-5.7,0.3,0.3,0.60,0.12,0.12
J2010-1323,PSR Pi II,J2000.0,56000.0,20h10m45.9211s,0h0m0.0001s,"-13°23'56.083""","0°0'0.004""",2.358,0.329,0.210,-5.611,0.257,0.303,0.484,0.166,0.120
J2145-0750,PSR Pi II,J2000.0,56000.0,21h45m50.4588s,0h0m0.0001s,"-7°50'18.514""","0°0'0.002""",-9.491,0.052,0.042,-9.114,0.090,0.076,1.603,0.063,0.009
J2317+1439,PSR Pi II,J2000.0,56000.0,23h17m09.2364s,0h0m0.0001s,"14°39'31.265""","0°0'0.001""",-1.476,0.465,0.065,3.806,0.272,0.704,0.603,1.533,0.241
